id,name,category,price,rating,country,created_date,rooms_available,reviews_count
63,"Taylor, Young and Miller",Boutique,1834.66,3.3,india,2024-04-14,210.0,2730
64,"Cruz, Gordon and Palmer",Resort,597.79,4.3,FRANCE,02/09/1974,130.0,2648
65,Carter-Alexander,Luxury,1098.91,1.8,Australia,2025-06-09,227.0,422
66,Andrews-Zamora,Resort,984.88,,usa,2023-06-29,160.0,4512
67,Taylor Ltd,Luxury,261.41,3.0,Japan,2023-04-30,428.0,3952
68,"Holder, Phelps and Ewing",Resort,1210.77,1.5,UK,2025-07-10,213.0,2784
69,"Nelson, Williams and Gardner",Business,1679.83,3.6,France,2024-03-06,171.0,4521
70,"Lopez, Wallace and Stewart",Budget,500.45,4.4,UAE,07/07/2011,362.0,3123
71,"Moore, Nelson and Barton",Budget,102.93,3.4,UK,2023-09-09,270.0,3743
72,Gonzalez Ltd,Budget,1569.6,3.5,UAE,2025-12-13,437.0,4371
73,Barnett-Patel,Resort,100.72,3.5,Japan,2023-06-07,223.0,806
74,"Cox, Boone and Bartlett",Budget,1809.75,99.0,Japan,2025-01-21,126.0,4351
75,Price PLC,Budget,1745.55,2.0,usa,2023-08-06,131.0,3764
76,,Business,341.21,2.4,usa,2024-10-31,354.0,2048
77,Cook-Wise,Resort,781.29,2.2,Japan,28/03/1971,203.0,2248
78,"Trujillo, Williams and Johnson",Luxury,1497.99,4.6,Germany,2024-09-05,326.0,1557
79,"Williams, Knapp and Williamson",Hostel,299.46,3.5,USA,2025-12-30,297.0,2988
80,Knight-Garrett,Hostel,425.57,4.5,Australia,2023-03-30,426.0,1347
81,Moore-Mitchell,Business,697.27,4.9,France,2026-01-28,347.0,3255
82,"Robinson, Ryan and Fernandez",Resort,,2.8,Japan,2026-02-28,482.0,3043
83,"White, Andrews and Harris",,1231.86,3.5,india,2023-07-17,210.0,955
84,Eaton-Boyd,Resort,492.56,2.6,Australia,2023-12-26,485.0,4425
85,Ray-Hahn,Resort,1672.38,4.8,Japan,31/08/1997,228.0,3642
86,Bolton-Salazar,Hostel,1806.34,1.2,Japan,2025-01-29,435.0,3725
87,Hernandez and Sons,Luxury,687.01,4.1,Germany,2023-09-17,107.0,4803
88,Williams-Jacobs,Budget,1204.08,4.9,France,2024-09-29,57.0,211
89,"Kelly, Reynolds and Meyer",Boutique,373.27,4.0,FRANCE,2023-05-30,230.0,2965
90,Sanchez-Watson,Boutique,,4.5,FRANCE,2025-01-02,16.0,498
91,Oneal-Miller,Luxury,1822.11,1.3,usa,2025-06-27,320.0,4795
92,Thompson LLC,Boutique,1025.94,4.2,UK,2025-04-24,394.0,4516
93,"Porter, Ortiz and Boyer",Budget,1660.02,3.9,Australia,2024-10-01,192.0,1250
94,Cook-Smith,Luxury,220.23,4.2,FRANCE,2023-06-15,288.0,2700
95,Hayes and Sons,Resort,1450.49,3.4,Australia,2025-06-12,80.0,3950
96,Smith and Sons,Business,578.78,2.7,FRANCE,2024-04-19,315.0,4560
97,Adams-West,Business,,4.0,Australia,2024-05-15,74.0,4639
98,Jackson LLC,Luxury,1075.05,2.8,France,2023-10-20,398.0,4649
99,"Robles, Casey and Sims",Boutique,,2.8,UAE,2023-08-20,140.0,1765
100,"Allen, Ochoa and King",Business,1198.47,2.2,Germany,2026-02-25,4.0,1674
101,"Logan, Hampton and Figueroa",Business,266.37,2.7,France,2024-06-14,257.0,4577
102,"Ramirez, Gomez and Gray",Hostel,,99.0,Australia,2023-05-06,364.0,3421
103,Ritter PLC,Budget,1247.71,4.7,UK,2026-01-21,224.0,4824
104,Yang Ltd,Hostel,686.15,3.0,UK,2023-08-12,398.0,2862
105,Holloway-Anderson,Budget,318.5,3.4,UK,2024-12-16,253.0,3800
106,"Paul, Rogers and Clark",Boutique,1973.47,4.9,Australia,2024-07-27,227.0,2480
107,Bailey-Rose,Luxury,920.27,4.3,UK,2024-11-03,47.0,4866
108,Peterson-Lopez,Hostel,915.98,3.6,Australia,2024-01-31,491.0,506
109,Meyer Ltd,Hostel,1302.87,,india,2026-02-26,313.0,1300
110,Howell Group,Business,133.16,2.3,Australia,2023-05-26,146.0,2064
111,"Wagner, Salinas and Harrell",Budget,1178.0,2.4,UAE,2026-01-07,44.0,2536
112,"Perez, Brown and Pugh",Budget,1663.05,3.7,FRANCE,2024-04-26,261.0,2964
113,Cooper-Potts,Business,987.95,1.6,UK,2023-04-03,260.0,4421
114,Ochoa-Walker,BUDGET,1247.52,1.6,France,2025-08-08,415.0,1356
115,,Hostel,905.07,4.0,india,2024-05-31,495.0,3842
116,"Aguilar, Jennings and Sanders",Boutique,939.51,2.5,FRANCE,2025-05-09,103.0,4953
117,Gillespie-Allen,Business,232.1,4.4,Japan,2026-02-10,231.0,4205
118,Ford-Turner,Budget,1772.72,2.7,UAE,2024-06-07,42.0,3071
119,"Garcia, Waters and Martin",Hostel,1589.02,2.1,india,2025-04-15,362.0,3842
120,,Business,324.55,3.4,UAE,2024-05-11,155.0,998
121,Benitez-Watson,Resort,1678.27,3.1,FRANCE,2024-11-30,150.0,3516
122,Joseph Group,Budget,198.66,1.3,FRANCE,2025-05-31,260.0,4539
123,Grimes-Collins,BUDGET,529.69,99.0,Australia,2023-12-10,54.0,4766
124,"Tucker, Long and Martin",,1296.31,3.7,india,2023-12-18,33.0,3749
125,Moore Group,Luxury,640.85,4.3,india,2024-08-02,98.0,2343
126,"Nelson, Carr and Thomas",Business,1604.7,2.6,india,2023-07-11,499.0,1530
127,Brown and Sons,Boutique,192.74,2.7,France,2023-10-05,41.0,2686
128,"Hogan, Thompson and Gordon",Resort,904.5,3.9,Australia,2025-04-05,328.0,469
129,Jacobs-Jones,Hostel,1907.0,3.4,india,05/10/1979,399.0,3000
130,"Travis, Bolton and Evans",luxury,1899.18,4.1,usa,2025-09-27,161.0,2283
131,Robinson Group,Resort,1829.68,4.1,india,2024-09-08,356.0,4023
132,Hill LLC,Budget,906.87,3.7,Australia,2023-06-23,282.0,4441
133,Ibarra Ltd,Hostel,1286.27,3.0,UK,2024-04-07,122.0,4047
134,Sullivan Inc,Boutique,1771.97,2.6,india,2025-11-27,422.0,4709
135,"Tucker, Ingram and Acevedo",Resort,1049.2,4.3,FRANCE,2025-10-02,495.0,1057
136,Maynard-Gibson,Luxury,629.13,4.7,Germany,2024-08-01,459.0,2326
137,Reynolds-Key,Boutique,1261.29,1.4,France,2024-08-11,88.0,4957
138,"Ramos, Harmon and Thompson",luxury,1898.64,2.1,Germany,2023-10-30,328.0,248
139,Wong Inc,Business,1615.24,2.2,UK,2026-02-23,213.0,3966
140,King Inc,Hostel,1976.41,2.6,Australia,2024-10-10,124.0,3821
141,Austin Inc,Luxury,786.78,2.0,France,2024-08-18,370.0,2561
142,Allen-Flores,Resort,637.82,-1.0,FRANCE,2023-03-18,299.0,2890
143,"Hall, Hays and Smith",Hostel,592.92,99.0,UAE,2023-05-16,188.0,3303
144,Hampton-Miller,Budget,598.55,2.8,FRANCE,2023-05-20,349.0,973
145,Zavala-Clark,Business,750.24,3.4,UAE,2025-05-24,,1122
146,Price PLC,Budget,1045.55,3.5,France,2024-11-25,432.0,2451
147,Macdonald Ltd,Resort,620.59,2.5,UK,2024-02-20,408.0,218
148,Johnson-Andersen,Boutique,1451.16,1.7,usa,2023-06-25,421.0,1984
149,Clark and Sons,Luxury,855.0,1.8,FRANCE,2025-02-19,447.0,510
150,"Roy, Oconnell and Greene",Hostel,772.34,2.8,FRANCE,2023-11-18,396.0,2165
151,Harrison-Davis,Boutique,1884.73,4.1,Germany,2023-03-09,246.0,2857
152,Robinson-Reed,Business,1362.95,4.9,Australia,2024-02-11,149.0,344
153,Baird and Sons,Resort,1502.26,4.3,Japan,2025-09-14,71.0,894
154,Freeman-Cooke,Hostel,474.57,1.4,Australia,2023-06-08,395.0,1126
155,"Tate, Hoover and Gardner",Resort,1764.88,3.6,Japan,2023-07-04,465.0,732
156,Bryan-Graham,Luxury,374.88,1.7,USA,2023-08-20,254.0,1526
157,"Savage, Santiago and Clayton",Luxury,,1.4,Australia,2023-07-29,279.0,4295
158,Johnson-Lewis,Resort,1623.36,3.9,Japan,2023-04-06,,2761
159,"Hayes, Gilmore and Johnson",Budget,1288.29,2.7,Australia,2025-08-02,95.0,1151
160,Wood PLC,BUDGET,1514.9,2.2,usa,26/08/1983,355.0,1935
161,"Becker, Alexander and Brady",Resort,1848.52,4.1,UK,2023-07-30,189.0,1809
162,Jones-Mata,Hostel,766.04,4.7,FRANCE,2025-08-18,391.0,2027
163,Martinez and Sons,Boutique,1416.42,3.3,USA,2024-01-23,104.0,4691
164,Sherman Ltd,Resort,434.64,1.4,FRANCE,2024-03-08,68.0,4204
165,Davis and Sons,Hostel,1454.86,4.3,Germany,2024-11-20,,2822
166,"Jones, Patterson and Garcia",Luxury,959.98,1.7,France,2025-01-11,331.0,3443
167,"Hicks, Benson and Phillips",Resort,1374.98,3.2,Australia,2023-04-15,202.0,4332
168,Perez PLC,Luxury,942.12,2.7,UAE,2024-11-21,178.0,1270
169,Mitchell-Brown,Luxury,,3.5,USA,2026-01-14,305.0,275
170,Frost and Sons,Budget,822.46,1.9,USA,2025-02-09,120.0,4719
171,Hartman Group,Business,1756.23,3.1,UAE,2024-08-08,486.0,4846
172,"Ramirez, Ball and Gross",Resort,122.36,3.6,UAE,2024-01-25,214.0,3344
173,Velasquez Group,Resort,473.93,1.6,india,2025-04-11,496.0,3412
174,Porter-Gill,Budget,185.77,2.5,FRANCE,2025-03-17,138.0,3089
175,Burns-Farmer,Budget,1187.54,1.9,Germany,2023-03-26,490.0,125
176,"Pennington, Blevins and Pena",Hostel,973.47,3.4,Germany,2023-06-10,165.0,2318
177,"Moran, Tucker and Joseph",Business,1769.14,4.2,india,2024-12-05,105.0,3036
178,,Hostel,543.72,3.3,UAE,2023-06-08,118.0,3111
179,Murphy PLC,Hostel,1533.82,3.9,india,2024-02-09,181.0,1386
180,"Hill, Hayes and Rubio",Boutique,1915.76,4.4,UK,2025-05-28,392.0,52
181,"Pearson, Salinas and Carr",Hostel,460.88,1.2,usa,2023-11-14,9.0,54
182,Maldonado-Chen,,1955.63,,UAE,2024-01-06,55.0,789
183,Oconnell Ltd,Business,556.63,2.5,UAE,2024-10-13,357.0,1850
184,Reyes-Harper,Hostel,214.2,3.2,USA,2023-11-19,43.0,4094
185,"Ross, Johnson and Sharp",Luxury,1840.73,4.6,usa,2023-04-08,,609
186,Barnes LLC,Hostel,,2.3,Germany,2024-06-28,365.0,3262
187,Mitchell-Crawford,Boutique,796.64,2.3,France,2025-11-23,41.0,4102
188,"Parker, Hammond and Kaiser",Budget,700.97,4.8,UAE,2024-01-31,325.0,2239
189,Nielsen-Parker,Boutique,880.74,3.6,UK,2024-10-04,127.0,602
190,Murphy and Sons,Hostel,797.56,1.4,Japan,2025-08-15,53.0,1085
191,Fernandez Inc,Boutique,81.74,1.4,usa,2023-07-28,7.0,2390
192,"Savage, Day and Hoffman",Boutique,1957.0,1.7,UAE,2023-11-12,138.0,4039
193,Chen-Davis,Business,181.54,2.0,india,2023-09-30,55.0,1109
194,Rivera-Cordova,Boutique,1728.53,2.7,usa,2023-05-06,486.0,1645
195,Walter and Sons,Business,1399.07,3.3,Germany,2026-02-27,403.0,3218
196,Phillips-Rodriguez,Boutique,1542.21,,india,2024-05-03,409.0,2386
197,Klein-Atkinson,Resort,304.18,2.0,France,2024-06-29,38.0,3678
198,Cox-Ross,Boutique,1743.18,1.1,Australia,2024-11-03,305.0,696
199,Cooper-Blair,Budget,117.26,3.7,UAE,2025-04-16,408.0,3526
200,Johnson-Rowe,Hostel,1173.62,2.8,UAE,2023-10-15,354.0,4099
201,Smith LLC,Business,1924.6,4.8,France,2023-06-02,402.0,1694
202,Reed PLC,Hostel,658.25,4.2,UK,25/05/2021,56.0,1346
203,Johnston-Wilson,Boutique,1132.9,1.9,UAE,2024-06-29,337.0,3540
204,George-Allen,Resort,796.01,1.8,UK,2024-06-15,275.0,1531
205,Osborne-Martinez,Hostel,1069.6,3.4,usa,2025-06-11,181.0,3750
206,Rodriguez Group,Business,1192.63,2.3,Germany,2025-09-30,356.0,1158
207,Goodman-Sanders,Resort,988.74,4.7,France,2026-03-02,72.0,1532
208,"Oliver, Vaughn and Snyder",Business,984.68,2.5,FRANCE,2025-04-28,351.0,4028
209,Robinson-Ayala,Luxury,1597.89,1.1,Germany,2025-12-18,235.0,4633
210,Carroll Group,Luxury,557.74,5.0,FRANCE,2025-11-06,,3615
211,White Inc,Hostel,616.49,2.8,Australia,2026-02-13,444.0,961
212,Peters-Edwards,Boutique,1726.27,2.7,usa,2023-07-19,106.0,486
213,Johnson Ltd,Budget,1416.99,2.1,FRANCE,2023-04-25,49.0,1110
214,Caldwell Ltd,Business,279.97,2.0,Australia,2024-11-24,347.0,3217
215,Rodriguez-Walker,Resort,178.77,4.1,UAE,2024-08-26,480.0,3023
216,Green-Mcdowell,Hostel,1945.14,3.8,UK,2025-01-13,496.0,3519
217,Page LLC,Business,1168.53,2.9,Australia,2024-12-15,24.0,815
218,"Jones, Jennings and Clark",luxury,31.33,1.8,France,2023-12-17,448.0,2244
219,Willis-Adkins,Hostel,356.08,2.2,Germany,2024-06-15,49.0,8
220,"Richards, Murphy and Marsh",Boutique,48.3,4.3,UAE,2025-04-09,118.0,3138
221,King-Potts,Business,300.14,4.0,France,2025-03-21,36.0,4345
222,Lopez PLC,Business,1267.32,2.6,india,2024-03-10,52.0,1146
223,Rojas-Chan,Resort,305.47,1.3,FRANCE,2024-01-12,146.0,219
224,Moore LLC,Boutique,401.63,3.6,Germany,2025-10-12,256.0,4865
225,Vance-Stevens,BUDGET,290.01,3.3,Australia,2024-10-11,242.0,597
226,"Hines, Lopez and Welch",Luxury,1898.9,2.1,FRANCE,2023-07-02,206.0,675
227,Simmons-Bates,Luxury,1037.27,4.2,FRANCE,2024-10-05,391.0,541
228,Peterson LLC,Budget,199.84,2.8,usa,2025-04-04,337.0,1438
229,Brown Group,Budget,713.01,4.3,Japan,2025-10-24,400.0,2201
230,"Ruiz, Mann and Daniels",Business,565.8,3.8,usa,2024-12-13,262.0,2950
231,"Bryant, Flowers and Copeland",Budget,232.72,3.9,Germany,2024-12-13,,100
232,"Reyes, Gardner and Coleman",Budget,1921.87,,UAE,2025-12-11,469.0,2620
233,"Small, Mclaughlin and Barrett",Boutique,133.76,3.1,USA,2023-06-22,239.0,2312
234,Harvey-Gamble,Resort,,3.3,Japan,2025-06-02,189.0,4847
235,Erickson-Riley,Hostel,1528.15,1.0,UAE,28/09/1979,326.0,78
236,,Hostel,234.78,2.0,india,2026-02-21,73.0,2292
237,"Robbins, Ross and Wells",Boutique,1794.29,4.0,usa,2025-08-03,420.0,3230
238,"Phillips, Nelson and Mcpherson",Budget,544.15,4.2,Australia,2024-02-07,39.0,1660
239,Pena-Conley,Luxury,948.13,3.1,Germany,2024-03-13,437.0,982
240,Gregory-Cole,Hostel,109.45,2.3,UK,2024-06-13,203.0,4206
241,Boyle-Harmon,Budget,,2.8,FRANCE,2025-07-21,412.0,1145
242,Martinez PLC,Budget,1652.64,3.5,UK,2025-08-21,417.0,614
243,Finley Inc,Resort,211.2,4.2,UK,29/08/1978,87.0,4701
244,Turner PLC,Resort,370.43,1.7,Japan,2024-04-09,315.0,2013
245,Nelson PLC,Resort,581.16,1.8,FRANCE,2024-10-11,279.0,159
246,Johnson-Lewis,Boutique,707.75,2.3,Japan,2023-08-31,113.0,240
247,"Morrow, Cox and Gibson",Resort,1540.68,4.9,UK,2024-12-10,274.0,458
248,Thomas Inc,Resort,1683.27,1.7,usa,2023-10-17,184.0,4846
249,"Ingram, Cunningham and Thompson",Boutique,1898.29,4.2,india,2023-08-30,20.0,739
250,"Mcguire, Clark and Peck",BUDGET,,1.8,France,2024-12-01,411.0,2650
251,"Henson, Moss and Underwood",Budget,1697.57,4.8,Australia,2025-04-10,301.0,827
252,Castillo LLC,Hostel,1589.93,3.6,France,2025-04-30,456.0,2923
253,"Anderson, Parker and Walton",Business,610.2,1.0,usa,2024-11-06,495.0,4648
254,Curry-Odonnell,Boutique,1144.13,1.6,UK,2024-02-29,86.0,726
255,Haney-Bean,Business,552.47,1.3,Japan,2023-11-06,25.0,3161
256,Burke-Bell,Resort,776.06,1.4,india,2024-10-22,389.0,1847
257,Fisher-Drake,Business,,1.4,Australia,2023-12-04,375.0,614
258,Juarez-Jones,Boutique,1789.66,2.7,France,2023-12-01,28.0,829
259,"Thompson, Rodriguez and Hahn",Boutique,1468.05,2.1,Germany,2025-06-16,282.0,4021
260,"Hughes, Murray and Maldonado",Business,1261.43,1.4,Germany,2023-03-05,42.0,3879
261,Reid LLC,Resort,552.06,2.6,Australia,2023-10-27,229.0,365
262,Hernandez Group,Business,327.73,1.4,Australia,2023-08-25,388.0,4831
263,"Thomas, Henson and York",Boutique,1084.96,2.9,Germany,2023-05-09,463.0,284
264,"Morris, Lambert and Ray",Hostel,320.47,2.8,France,2026-01-06,65.0,349
265,Graham-Trujillo,Hostel,1202.24,3.9,UK,2025-06-04,283.0,2671
266,Phillips PLC,Luxury,1257.42,2.7,UAE,2025-01-31,299.0,820
267,Lee and Sons,Business,1763.87,2.1,india,2024-05-13,89.0,2256
268,Swanson-Sullivan,Resort,,2.3,Germany,30/11/2007,138.0,3051
269,Carrillo-Cohen,Business,1720.72,4.9,Germany,2025-11-24,227.0,2628
270,Johnson Ltd,Budget,1829.46,2.9,FRANCE,2023-10-30,264.0,1302
271,Barry-Chavez,Boutique,87.03,4.3,USA,2025-12-12,471.0,2952
272,Day Inc,Boutique,1848.45,2.0,india,2025-06-25,446.0,3887
273,Thompson Inc,Business,1387.04,2.5,France,2024-04-16,110.0,1813
274,"Adams, White and Thompson",Resort,1733.32,3.7,india,2026-01-07,308.0,69
275,Adams Ltd,Hostel,1296.2,2.5,Australia,2024-03-01,155.0,4265
276,Mitchell and Sons,Boutique,1933.98,3.2,usa,2023-03-09,56.0,3946
277,"Brown, Espinoza and Wilkerson",Business,1430.85,2.2,France,2024-09-18,30.0,4915
278,Willis Ltd,Luxury,1995.01,2.7,UAE,2023-04-22,293.0,1555
279,"Little, Archer and Graham",Hostel,1815.86,3.0,France,2023-12-31,93.0,2406
280,Wright PLC,Boutique,390.64,2.3,UK,2023-08-03,447.0,2515
281,"Martinez, Huang and Moran",Boutique,1706.89,4.5,usa,2025-08-25,242.0,1593
282,Miller-Solomon,Business,1745.57,5.0,Australia,2023-03-26,465.0,3748
283,Allen-Gray,Luxury,1273.13,3.5,USA,2024-07-20,397.0,1381
284,Macdonald Inc,Luxury,884.41,2.7,india,2025-03-07,,1633
285,Mccarthy-Beard,Boutique,1363.19,2.0,Australia,2023-05-08,258.0,4822
286,Lin and Sons,BUDGET,1054.97,2.7,France,2024-10-06,184.0,1543
287,Kidd Group,Luxury,1462.52,3.9,usa,2025-04-30,365.0,306
288,"Jones, Smith and Travis",Boutique,,3.6,USA,23/10/2016,228.0,3115
289,Gallegos-Cummings,Budget,1271.71,3.6,FRANCE,2025-04-16,71.0,3431
290,"Shaw, Carter and Cunningham",Luxury,1575.98,3.4,Japan,2026-01-24,184.0,3356
291,,Budget,976.91,1.1,UK,2025-03-02,343.0,4047
292,Coffey LLC,Hostel,1812.42,2.8,Japan,2023-03-27,417.0,1431
293,"Powell, Haynes and Mendoza",Hostel,1484.92,4.0,USA,03/03/2002,332.0,1396
294,"Phillips, Shah and Hardy",Business,213.11,1.7,UAE,2025-12-16,428.0,3159
295,"Duncan, James and Smith",Budget,1401.45,4.8,France,2023-03-16,248.0,4660
296,Duran-Mcdowell,Business,1729.27,3.9,France,2024-03-29,455.0,3369
297,"Johnson, Barber and Cooke",Luxury,1365.52,3.3,usa,2024-09-29,448.0,2771
298,Jordan Group,Resort,519.7,3.7,UAE,2025-03-08,457.0,447
299,Molina PLC,Resort,1742.75,3.0,Germany,2023-04-16,260.0,1824
300,Stewart-Davis,Luxury,1608.48,4.4,india,2026-02-14,382.0,145
301,King and Sons,Luxury,1589.81,3.6,FRANCE,2025-09-29,234.0,2792
302,Warner Ltd,Resort,1541.81,3.9,Australia,2023-09-01,389.0,1816
303,Myers Ltd,Business,766.56,4.6,india,2025-12-27,370.0,3352
304,Hancock PLC,Resort,1654.37,2.4,UAE,14/12/2022,345.0,4823
305,Hall-Palmer,Boutique,295.23,3.1,USA,2024-05-06,300.0,3956
306,Jackson-Robinson,Hostel,1469.07,2.5,usa,2025-10-06,452.0,3151
307,"Lopez, Anderson and Dudley",Budget,1928.28,2.8,France,2024-02-20,454.0,4196
308,"Anderson, Ruiz and Andrews",Hostel,1120.56,1.8,Japan,2024-08-15,68.0,1456
309,"Beck, Garcia and Jimenez",Luxury,1137.69,4.8,UAE,2025-11-04,274.0,2342
310,"Wagner, Perez and Adkins",luxury,,3.7,Germany,2025-02-22,147.0,2052
311,"Carter, Snow and Barker",Budget,93.64,1.4,FRANCE,2025-10-03,288.0,3185
312,Martinez-Whitaker,Business,122.55,2.7,Australia,2026-01-31,381.0,2058
313,"Little, Jenkins and Alvarez",Resort,1825.63,3.6,usa,2025-12-27,398.0,1585
314,Howard LLC,Budget,1478.11,1.2,Japan,2025-11-20,300.0,2089
315,Garcia-Edwards,Luxury,665.58,4.7,usa,2023-06-09,405.0,4691
316,"Foster, Wyatt and Gutierrez",Boutique,392.22,3.0,UAE,2025-02-11,179.0,1812
317,Carpenter Ltd,Business,1512.73,5.0,USA,2025-02-10,124.0,1997
318,Clark Group,Luxury,1094.27,4.6,Australia,2025-02-06,250.0,359
319,"Johnson, Wells and James",Luxury,359.77,3.2,USA,2025-08-03,323.0,1746
320,"Kim, Mejia and Martinez",Boutique,1760.92,2.7,UK,2025-04-04,236.0,2717
321,"Jenkins, Franklin and Walker",Business,1162.68,2.0,UAE,2024-08-10,162.0,138
322,Stone-Wells,,1519.24,3.8,UK,2025-07-16,149.0,2468
323,Adams-Casey,Resort,1331.62,3.1,France,2025-12-20,435.0,4470
324,Fuller-Jones,Hostel,1916.06,,France,2023-09-18,,4887
325,Cook-Robinson,Budget,1809.99,2.7,FRANCE,2025-01-17,316.0,2070
326,Frye-Kemp,Luxury,1866.77,2.8,FRANCE,2025-04-12,129.0,804
327,Torres LLC,Business,1321.28,3.5,Germany,2026-02-25,316.0,2504
328,"Roth, Coleman and Nelson",Business,362.22,4.1,UAE,2023-11-07,348.0,2716
329,"Mccullough, White and Bryan",Business,244.4,1.3,Japan,2025-04-24,276.0,1609
