id,name,category,price,rating,country,created_date,rooms_available,reviews_count,rejection_reason
234,Harvey-Gamble,Resort,,3.3,JAPAN,2025-06-02,189.0,4847,Invalid price
236,,Hostel,234.78,2.0,INDIA,2026-02-21,73.0,2292,Missing name
241,Boyle-Harmon,Budget,,2.8,FRANCE,2025-07-21,412.0,1145,Invalid price
250,"Mcguire, Clark and Peck",Budget,,1.8,FRANCE,2024-12-01,411.0,2650,Invalid price
257,Fisher-Drake,Business,,1.4,AUSTRALIA,2023-12-04,375.0,614,Invalid price
268,Swanson-Sullivan,Resort,,2.3,GERMANY,2007-11-30,138.0,3051,Invalid price
288,"Jones, Smith and Travis",Boutique,,3.6,USA,2016-10-23,228.0,3115,Invalid price
291,,Budget,976.91,1.1,UK,2025-03-02,343.0,4047,Missing name
310,"Wagner, Perez and Adkins",Luxury,,3.7,GERMANY,2025-02-22,147.0,2052,Invalid price
322,Stone-Wells,,1519.24,3.8,UK,2025-07-16,149.0,2468,Invalid category
324,Fuller-Jones,Hostel,1916.06,,FRANCE,2023-09-18,,4887,Invalid rating
336,Yoder PLC,Boutique,,2.8,GERMANY,2025-08-13,109.0,1230,Invalid price
338,,Budget,1039.91,1.6,FRANCE,2025-01-05,491.0,3321,Missing name
339,"Powell, Rodriguez and Powell",,1647.97,1.9,USA,2024-05-19,88.0,1797,Invalid category
341,,Boutique,1658.23,1.7,USA,2024-01-17,273.0,4123,Missing name
350,,Boutique,1241.92,2.4,USA,2024-07-21,142.0,3272,Missing name
351,Hobbs LLC,Boutique,,4.7,FRANCE,2024-11-17,469.0,4775,Invalid price
373,,Resort,891.1,3.9,UAE,2025-06-13,41.0,3458,Missing name
383,,Boutique,1403.16,1.7,AUSTRALIA,2025-12-23,445.0,4904,Missing name
387,Hunt-Gardner,Business,1444.16,99.0,INDIA,2024-05-01,240.0,497,Invalid rating
392,Lopez-Werner,Resort,30.39,-1.0,USA,1987-07-09,456.0,2472,Invalid rating
393,Christian-Marshall,Business,,3.8,JAPAN,2024-01-05,293.0,4682,Invalid price
394,,Budget,1782.56,2.0,JAPAN,2025-06-23,470.0,1781,Missing name
397,Bennett-Holmes,Boutique,,1.6,FRANCE,2024-04-15,345.0,3218,Invalid price
402,Ryan Inc,Budget,1645.66,,UK,2025-04-08,170.0,1712,Invalid rating
405,,Hostel,1960.19,3.8,AUSTRALIA,2025-07-07,46.0,1527,Missing name
406,Graves-Zuniga,Hostel,,3.1,AUSTRALIA,2024-01-06,10.0,2840,Invalid price
423,,Business,1128.37,1.2,FRANCE,2024-12-29,75.0,265,Missing name
424,Clark Inc,Luxury,,1.7,JAPAN,2024-10-31,305.0,4688,Invalid price
435,,Boutique,700.03,4.5,JAPAN,2024-06-21,447.0,804,Missing name
454,,Budget,252.93,3.8,FRANCE,2025-04-17,440.0,2289,Missing name
456,,Resort,683.08,4.9,JAPAN,2024-03-17,,4895,Missing name
464,,Luxury,,1.4,INDIA,2025-10-12,129.0,1581,Missing name; Invalid price
473,Strong and Sons,Budget,,,GERMANY,2023-06-26,277.0,2520,Invalid price; Invalid rating
474,Allen LLC,Luxury,,4.2,USA,2024-09-06,335.0,4285,Invalid price
476,Hall-Morrison,,,4.2,INDIA,2025-11-29,33.0,871,Invalid price; Invalid category
479,Martinez LLC,Hostel,1561.99,-1.0,UK,2003-12-31,46.0,4863,Invalid rating
483,Brown-Frye,,442.89,3.5,INDIA,1996-06-25,474.0,4402,Invalid category
491,Wood-Morrow,Boutique,,4.1,UAE,2026-01-25,321.0,3803,Invalid price
492,,Resort,685.83,-1.0,JAPAN,2025-11-17,295.0,1696,Missing name; Invalid rating
498,Johnson-Taylor,Business,1483.29,99.0,UK,1977-11-04,428.0,4256,Invalid rating
502,,Business,913.41,3.1,UK,2024-11-28,256.0,1190,Missing name
521,Wilkinson-Shepherd,Luxury,1168.92,99.0,GERMANY,2024-05-01,387.0,4400,Invalid rating
529,,Boutique,330.89,1.4,UK,2024-11-06,253.0,3817,Missing name
531,Freeman-Shields,Luxury,,4.4,JAPAN,2025-09-21,221.0,1101,Invalid price
535,Holmes-Holder,Business,1090.68,,UAE,2024-02-07,137.0,167,Invalid rating
548,Washington Group,Luxury,1813.3,,USA,2025-10-11,123.0,2072,Invalid rating
556,"Yates, Lopez and Osborne",,1842.38,3.7,UK,2025-08-21,485.0,2180,Invalid category
560,Goodwin-Dennis,,625.94,2.5,FRANCE,2019-03-27,87.0,4126,Invalid category
566,Lowe Ltd,,270.32,4.7,UK,2025-01-17,42.0,3770,Invalid category
573,,Resort,945.37,4.3,AUSTRALIA,2025-07-17,258.0,133,Missing name
580,"Johnson, Hall and Best",Business,,3.1,USA,2024-12-31,445.0,3996,Invalid price
581,"Diaz, Ponce and Mathis",,155.12,2.7,INDIA,2025-07-25,331.0,2840,Invalid category
585,Hess Inc,Budget,1792.08,99.0,AUSTRALIA,2023-04-29,62.0,4603,Invalid rating
596,"Young, Foster and Hernandez",Luxury,,1.5,JAPAN,2023-06-12,,2776,Invalid price
601,"Miller, Brewer and Hill",Resort,,3.2,UK,2025-02-03,62.0,3027,Invalid price
602,,Business,767.69,1.1,FRANCE,2025-11-17,25.0,2499,Missing name
603,Nelson-Medina,Resort,,1.3,USA,2023-09-19,290.0,3705,Invalid price
617,,Luxury,843.93,3.8,UAE,2025-04-20,333.0,635,Missing name
620,Holmes LLC,Business,,3.8,USA,2023-10-17,421.0,3244,Invalid price
624,,Luxury,857.52,1.0,GERMANY,2023-08-21,414.0,207,Missing name
632,"Davis, Davis and Mann",,314.86,4.3,FRANCE,2025-02-22,101.0,1641,Invalid category
635,Simpson Inc,Luxury,175.25,99.0,FRANCE,2024-09-05,300.0,2948,Invalid rating
636,,Budget,546.14,4.4,GERMANY,2025-11-15,,2144,Missing name
637,,Resort,1773.47,1.8,INDIA,2024-08-14,339.0,1403,Missing name
646,,Business,825.51,3.3,USA,2025-12-26,390.0,1222,Missing name
651,Johnson Group,Budget,1119.23,,USA,2023-12-30,36.0,3161,Invalid rating
652,Mathis LLC,Luxury,756.24,-1.0,UAE,2025-08-05,67.0,4394,Invalid rating
654,"Stephens, Aguirre and Henry",Budget,,1.3,UAE,2023-10-20,169.0,4663,Invalid price
659,,Budget,1504.89,1.3,FRANCE,2023-04-23,225.0,1148,Missing name
662,Miller Ltd,Luxury,,1.8,GERMANY,2023-10-20,47.0,131,Invalid price
674,Duran Group,Resort,,4.4,JAPAN,2024-12-11,373.0,1439,Invalid price
679,Davis-Moore,Budget,,3.6,UAE,2025-10-05,462.0,658,Invalid price
687,"Thompson, Sullivan and Cooper",Budget,,3.1,GERMANY,2025-01-18,338.0,3892,Invalid price
688,Cain Ltd,,1630.86,-1.0,USA,2024-08-01,348.0,3639,Invalid rating; Invalid category
695,,Boutique,794.65,4.1,FRANCE,2025-12-26,114.0,873,Missing name
706,"Moreno, Sanchez and King",,1573.44,1.3,USA,2023-07-14,334.0,1016,Invalid category
713,Cherry and Sons,,562.15,3.7,UAE,2024-06-08,186.0,2732,Invalid category
714,Conley PLC,Business,,4.9,UAE,2023-07-30,64.0,1439,Invalid price
725,Mitchell-Hunter,,728.43,3.0,UK,2024-07-21,211.0,1014,Invalid category
726,,Business,808.86,2.7,FRANCE,2025-12-04,225.0,3599,Missing name
730,"Murphy, Chavez and Bowen",Hostel,,2.1,UK,2025-11-26,79.0,4188,Invalid price
734,Harmon-Fuller,Budget,,4.0,GERMANY,2024-11-05,311.0,825,Invalid price
735,"Sawyer, Wright and Bradshaw",Business,220.87,,FRANCE,2023-05-04,186.0,4824,Invalid rating
742,,Business,562.76,3.6,GERMANY,2024-07-08,60.0,11,Missing name
748,"Bailey, Marshall and Zavala",Luxury,1299.63,99.0,UK,2024-05-27,308.0,110,Invalid rating
749,,Boutique,696.63,1.8,INDIA,2024-06-01,418.0,1336,Missing name
766,Barry Ltd,Budget,,4.8,USA,2024-03-03,491.0,3261,Invalid price
777,"White, Moon and Dickerson",Boutique,,2.5,AUSTRALIA,2025-12-13,110.0,443,Invalid price
778,,Resort,1282.3,1.3,UAE,2024-12-02,232.0,3438,Missing name
781,Lewis Group,Hostel,1474.26,-1.0,FRANCE,2024-07-11,406.0,3329,Invalid rating
789,,Boutique,1211.89,4.8,UAE,2024-05-03,99.0,3222,Missing name
797,,,456.12,4.6,USA,2024-05-21,373.0,1036,Missing name; Invalid category
815,"Hawkins, Sanchez and Holmes",,723.35,3.2,AUSTRALIA,2023-09-17,258.0,3529,Invalid category
816,"Burke, Harper and King",Luxury,,4.7,GERMANY,2025-02-28,305.0,2260,Invalid price
817,Martin Group,Hostel,,1.4,UK,2023-03-31,,2180,Invalid price
821,"Haynes, King and Davis",Resort,960.96,99.0,USA,2023-12-27,117.0,4303,Invalid rating
828,,Budget,273.17,1.0,AUSTRALIA,2024-12-20,,2059,Missing name
841,Lynch-Jackson,Resort,932.95,99.0,AUSTRALIA,2025-04-18,108.0,2857,Invalid rating
844,Floyd-Burns,Luxury,,1.9,UK,2024-02-10,166.0,1896,Invalid price
850,"Fitzgerald, Robertson and Johnson",Business,,2.2,JAPAN,2024-11-18,447.0,1293,Invalid price
855,"Waters, Miller and Fischer",Hostel,,2.5,UAE,2023-07-29,219.0,4501,Invalid price
857,"Thompson, Alexander and Reeves",,142.06,2.8,JAPAN,2015-11-29,336.0,2000,Invalid category
866,,Business,1571.38,3.4,UK,2024-03-31,429.0,2166,Missing name
869,"Espinoza, Bowman and Black",Boutique,1172.38,,GERMANY,2024-10-02,133.0,2108,Invalid rating
889,"Jackson, Dixon and Rogers",Boutique,1758.82,,USA,2023-07-27,447.0,1803,Invalid rating
891,Davis-Lewis,Budget,,3.5,USA,2024-10-30,272.0,1475,Invalid price
896,"Sutton, Moore and Fisher",Boutique,1221.77,,USA,2025-12-05,361.0,2730,Invalid rating
897,Young Inc,Hostel,,3.1,FRANCE,2025-06-20,368.0,1878,Invalid price
899,,Luxury,1551.65,2.1,UK,2024-08-10,206.0,1074,Missing name
908,"Parrish, Fitzpatrick and Grant",Resort,,5.0,JAPAN,2025-03-09,191.0,4618,Invalid price
914,,Budget,1612.61,1.7,USA,2026-01-04,27.0,1122,Missing name
930,,Hostel,966.16,2.3,USA,2024-03-30,18.0,2640,Missing name
932,,Resort,1398.16,2.9,GERMANY,2025-07-10,173.0,3953,Missing name
939,Peterson-Webster,Hostel,1014.9,-1.0,UAE,2023-05-06,93.0,3487,Invalid rating
940,"Hooper, King and Arnold",Resort,,2.7,FRANCE,2024-08-29,55.0,3808,Invalid price
941,"Chambers, Dean and Garcia",Hostel,1612.99,-1.0,FRANCE,2024-07-26,233.0,94,Invalid rating
944,Owens-Holland,Resort,945.58,-1.0,INDIA,2025-07-06,352.0,3025,Invalid rating
946,,Budget,1083.92,1.6,INDIA,2025-10-02,498.0,3752,Missing name
947,Keller-Barry,Hostel,1151.06,-1.0,AUSTRALIA,2003-06-15,371.0,828,Invalid rating
948,"Johnson, Hall and Ward",Hostel,862.38,,JAPAN,2023-07-05,41.0,3550,Invalid rating
951,Jackson-Pearson,Hostel,466.01,-1.0,GERMANY,2025-08-26,365.0,4991,Invalid rating
961,"Mosley, English and Moreno",,512.74,5.0,FRANCE,2023-05-02,57.0,4948,Invalid category
962,Jones-Harris,Budget,1926.07,99.0,UAE,2023-07-27,442.0,3156,Invalid rating
983,,Budget,534.18,1.1,UAE,2025-01-26,287.0,1633,Missing name
1000,,Hostel,666.84,2.0,USA,1972-11-24,72.0,3848,Missing name
1013,White LLC,Budget,1075.21,,AUSTRALIA,2024-05-16,272.0,1366,Invalid rating
1032,,Hostel,81.93,3.8,GERMANY,2023-03-31,332.0,1769,Missing name
1037,Hess Inc,Budget,,3.6,AUSTRALIA,2025-08-30,33.0,2903,Invalid price
1038,Fields-Johnston,Hostel,,2.7,FRANCE,2025-06-24,232.0,2538,Invalid price
1044,Galloway-Fitzgerald,,1722.94,1.8,USA,2023-05-09,500.0,2828,Invalid category
1050,Oconnell-Gonzalez,Resort,192.31,99.0,AUSTRALIA,2023-07-10,157.0,4076,Invalid rating
1063,"Santos, Medina and Mora",Boutique,,3.9,AUSTRALIA,2025-09-14,54.0,1914,Invalid price
1064,,Resort,265.69,3.5,USA,2025-03-17,,3902,Missing name
1091,Williams PLC,Hostel,1186.84,-1.0,UAE,2025-10-29,473.0,3303,Invalid rating
1099,Nicholson-Cannon,,786.76,2.3,FRANCE,2023-08-25,457.0,2179,Invalid category
1110,,Budget,998.19,1.3,AUSTRALIA,2023-06-15,204.0,1743,Missing name
1111,,Boutique,1125.84,1.6,GERMANY,2024-04-25,101.0,2679,Missing name
1112,Mcdonald Ltd,Resort,,3.6,FRANCE,2023-06-21,58.0,341,Invalid price
1114,Mckinney-Lawrence,Business,76.91,99.0,AUSTRALIA,2023-07-27,199.0,2681,Invalid rating
1117,Mcdonald-Lee,Hostel,,4.6,JAPAN,2025-10-02,478.0,1676,Invalid price
1119,,Luxury,331.99,3.7,USA,1977-02-20,239.0,3378,Missing name
1120,,Hostel,1545.98,2.1,INDIA,2025-07-22,344.0,2227,Missing name
1130,,Business,440.64,3.4,INDIA,2024-02-16,348.0,4025,Missing name
1132,Hammond-Beck,Resort,,4.6,INDIA,2025-09-25,126.0,770,Invalid price
1133,Washington Inc,Resort,,4.1,INDIA,2024-05-28,6.0,1051,Invalid price
1134,Richards-Willis,,1019.08,3.8,UAE,2025-12-19,371.0,399,Invalid category
1136,"Hill, White and Patterson",,1813.66,1.2,FRANCE,2024-04-23,299.0,4041,Invalid category
1138,Garrett Ltd,Hostel,854.69,-1.0,FRANCE,2024-06-11,45.0,2152,Invalid rating
1186,"Farmer, Colon and George",Hostel,1983.92,99.0,USA,2026-02-15,188.0,2926,Invalid rating
1189,Lane-Shaw,Resort,1387.39,-1.0,FRANCE,2024-04-17,184.0,4168,Invalid rating
1193,,Business,1630.66,4.9,AUSTRALIA,2026-02-24,382.0,3459,Missing name
1200,,Luxury,569.06,3.2,UAE,2026-01-01,376.0,2508,Missing name
1207,Browning Group,Business,,4.2,UAE,2023-12-06,416.0,3296,Invalid price
1209,,Luxury,63.73,2.5,AUSTRALIA,2023-03-31,497.0,2581,Missing name
1211,,Business,1088.05,1.2,UK,2023-06-06,494.0,1121,Missing name
1216,"Graves, Jackson and Castro",Boutique,,1.2,AUSTRALIA,2025-04-08,82.0,4840,Invalid price
1222,Willis PLC,Hostel,,1.8,FRANCE,2023-07-05,64.0,3020,Invalid price
1224,"Lopez, Bennett and Benson",Business,,1.2,USA,2025-07-15,105.0,3386,Invalid price
1234,Chase Inc,Hostel,1528.99,,JAPAN,2025-01-01,357.0,52,Invalid rating
1236,Oconnell-Barker,Hostel,1265.6,-1.0,GERMANY,2024-01-05,378.0,370,Invalid rating
1250,,Budget,1284.24,3.9,JAPAN,2025-07-31,289.0,1007,Missing name
1251,"Jacobs, Steele and Davis",Budget,758.05,-1.0,FRANCE,2023-07-19,22.0,4526,Invalid rating
1264,,Luxury,87.91,4.1,UK,2023-11-14,269.0,107,Missing name
1268,Allen-Dalton,Resort,532.64,,JAPAN,2023-06-25,482.0,351,Invalid rating
1285,"Williams, Hunt and Wallace",Luxury,,2.7,UAE,2024-03-09,29.0,956,Invalid price
1300,,Luxury,366.75,2.4,FRANCE,2023-05-09,448.0,2998,Missing name
1306,"Phillips, Sanchez and Patel",,779.48,3.5,INDIA,2024-03-27,197.0,4439,Invalid category
1309,Perry Group,Business,1151.31,99.0,FRANCE,2024-07-11,399.0,2806,Invalid rating
1314,Sanders and Sons,Resort,1130.61,-1.0,INDIA,2026-03-01,134.0,1836,Invalid rating
1323,"Peters, Martinez and Cole",Business,,1.0,USA,2006-06-03,191.0,1880,Invalid price
1325,,Hostel,1484.17,2.1,JAPAN,2025-11-26,197.0,3160,Missing name
1342,Thompson Ltd,Luxury,,3.3,USA,2024-01-24,48.0,2480,Invalid price
1344,"Gonzales, Huffman and Decker",Resort,,1.6,GERMANY,2024-02-05,474.0,3771,Invalid price
1346,,Business,1853.3,4.7,GERMANY,2024-11-24,110.0,303,Missing name
1348,Collins Inc,,1261.94,2.3,USA,2026-02-13,69.0,1229,Invalid category
1349,Coleman and Sons,,1698.34,2.4,UAE,2023-06-04,380.0,10,Invalid category
1353,Wilson-Cannon,Boutique,,1.5,JAPAN,2025-04-19,55.0,2804,Invalid price
1364,Jones-White,Hostel,1830.44,,JAPAN,2025-12-17,483.0,4522,Invalid rating
1365,Melton-Brown,Hostel,561.03,99.0,UK,2023-05-28,131.0,4987,Invalid rating
1380,,Luxury,344.82,3.3,GERMANY,2023-07-10,278.0,4478,Missing name
1382,Green PLC,Resort,164.26,99.0,UK,2024-06-11,425.0,925,Invalid rating
1384,Rivera Ltd,Budget,,3.2,UK,2024-04-21,359.0,179,Invalid price
1387,"Miller, Johnson and Williams",Hostel,,4.3,FRANCE,2024-09-12,139.0,3389,Invalid price
1395,,Business,1930.57,3.0,USA,1998-03-18,439.0,3027,Missing name
1397,Miller Ltd,,1715.48,1.6,FRANCE,2024-06-15,220.0,3918,Invalid category
1402,Richardson Inc,Hostel,1512.54,,AUSTRALIA,2025-01-18,189.0,2168,Invalid rating
1423,,Business,1239.81,3.4,USA,2024-01-13,8.0,3008,Missing name
1426,"Johnson, Smith and Larsen",Luxury,1796.68,,GERMANY,2026-01-05,68.0,3535,Invalid rating
1432,,Hostel,,1.9,AUSTRALIA,2024-06-22,236.0,1406,Missing name; Invalid price
1452,"Washington, Mitchell and White",,263.48,1.5,USA,2023-11-01,260.0,2328,Invalid category
1464,"Rodriguez, Walter and Glover",Boutique,,3.8,FRANCE,2025-10-01,372.0,1400,Invalid price
1487,Friedman-Woodard,,1158.19,4.7,JAPAN,2025-05-04,95.0,3269,Invalid category
1491,Farrell-Howard,,1469.82,3.1,AUSTRALIA,2025-10-19,62.0,650,Invalid category
1495,,Luxury,121.88,3.8,FRANCE,2025-01-17,33.0,201,Missing name
1497,"Snyder, Petersen and Foster",Resort,,4.9,UK,2024-05-14,204.0,4334,Invalid price
1499,,Boutique,1716.21,2.4,AUSTRALIA,2025-03-03,458.0,1746,Missing name
1502,,Luxury,796.51,4.8,FRANCE,2024-11-06,103.0,3122,Missing name
1503,,Resort,1300.27,4.9,GERMANY,2023-04-16,287.0,1498,Missing name
1508,Wolf-Stewart,Resort,1660.52,,AUSTRALIA,2025-06-28,157.0,999,Invalid rating
1509,"Padilla, Roberts and Rubio",,1556.29,3.6,FRANCE,2026-02-11,118.0,4676,Invalid category
1513,Rodriguez Ltd,,1007.38,3.6,FRANCE,2024-02-29,293.0,1995,Invalid category
1533,,Budget,832.57,4.0,USA,2023-11-18,235.0,2398,Missing name
1538,"Lewis, Rollins and Martinez",Boutique,48.36,-1.0,UAE,2025-12-05,105.0,81,Invalid rating
1545,"Wise, Green and Reese",Luxury,653.82,,AUSTRALIA,2025-01-21,145.0,2086,Invalid rating
1547,Santana Ltd,Boutique,,4.9,FRANCE,2025-07-28,315.0,409,Invalid price
1550,,Budget,770.09,2.3,JAPAN,2024-04-15,436.0,1575,Missing name
1551,Taylor LLC,,428.64,2.2,USA,2025-12-20,256.0,4166,Invalid category
1552,Chavez-Cummings,Budget,,4.4,USA,2025-11-27,351.0,2861,Invalid price
1563,Wagner-Warren,Budget,410.82,,UK,2025-04-13,130.0,4357,Invalid rating
1566,"Lane, Steele and Horton",,1421.27,2.4,GERMANY,2023-05-23,100.0,4456,Invalid category
1567,"Smith, Nelson and Howard",,,2.1,FRANCE,2025-12-10,1.0,2910,Invalid price; Invalid category
1581,"Frederick, Gomez and Harris",Boutique,,1.0,USA,2024-12-15,413.0,3231,Invalid price
1604,Stewart-Rocha,Boutique,87.12,99.0,FRANCE,2025-10-10,117.0,4730,Invalid rating
1612,,Hostel,1933.16,3.5,FRANCE,2023-06-11,296.0,384,Missing name
1614,,Business,1356.47,,UK,2023-04-18,300.0,653,Missing name; Invalid rating
1616,"Alvarado, Cox and Hill",Luxury,1442.84,-1.0,USA,2025-06-20,366.0,3776,Invalid rating
1620,Martinez Group,Budget,1367.32,99.0,FRANCE,2025-03-15,94.0,3743,Invalid rating
1623,Davis LLC,Luxury,,3.2,FRANCE,2024-04-28,136.0,1169,Invalid price
1635,"Scott, Soto and Carr",,451.55,1.4,USA,2023-11-26,196.0,4307,Invalid category
1636,Montgomery-Lopez,Resort,,2.8,FRANCE,2024-10-16,399.0,287,Invalid price
1643,Smith-Richard,Hostel,,4.0,INDIA,2024-11-29,93.0,3078,Invalid price
1645,,Budget,709.54,3.3,AUSTRALIA,2024-01-17,,866,Missing name
1653,"Kelly, Jennings and Scott",Resort,249.12,,FRANCE,2023-11-01,47.0,993,Invalid rating
1654,"Butler, Cooke and Gallagher",,1705.28,4.0,FRANCE,2025-04-14,254.0,1651,Invalid category
1680,Anderson Ltd,Luxury,93.89,-1.0,INDIA,2023-05-30,385.0,4066,Invalid rating
1684,,Resort,140.79,1.4,UAE,2025-04-01,,4194,Missing name
1687,Watkins-Robinson,Boutique,,2.0,JAPAN,2024-04-11,110.0,3237,Invalid price
1689,,Hostel,160.6,1.5,USA,2025-06-16,187.0,1163,Missing name
1692,,Luxury,1213.35,4.3,AUSTRALIA,2024-02-21,,826,Missing name
1694,Rocha-Shaw,Business,,4.0,INDIA,2025-01-16,80.0,4018,Invalid price
1701,"Mccoy, Johnson and Davis",Boutique,621.51,-1.0,UAE,2024-07-15,,3090,Invalid rating
1710,"Jackson, Richards and Hill",Budget,,2.7,USA,2023-05-26,,2180,Invalid price
1717,"Collier, Ellis and Santiago",Business,,3.0,FRANCE,2025-04-20,215.0,4056,Invalid price
1719,Perkins-Hamilton,Business,499.25,-1.0,FRANCE,2024-12-24,,1844,Invalid rating
1725,"Miller, Williams and Barnett",Business,159.17,99.0,USA,2024-05-01,48.0,4639,Invalid rating
1728,Flynn-Conley,Budget,,1.6,FRANCE,2024-07-09,71.0,2215,Invalid price
1732,Johnson Inc,,111.65,2.5,USA,2023-05-26,121.0,1393,Invalid category
1738,Johnson and Sons,Boutique,52.55,,UAE,2025-02-21,228.0,325,Invalid rating
1741,Knox-Bennett,Luxury,857.15,,FRANCE,2023-12-30,165.0,3276,Invalid rating
1747,Cross Inc,Budget,1403.75,99.0,JAPAN,2023-11-22,137.0,2189,Invalid rating
1756,"Fernandez, Nelson and Mcintyre",Resort,,1.9,GERMANY,2023-03-03,304.0,4171,Invalid price
1757,,Resort,73.84,3.8,UK,2025-11-01,377.0,1502,Missing name
1772,,Boutique,1932.9,1.7,INDIA,2023-12-28,215.0,4422,Missing name
1777,,Business,827.99,3.8,GERMANY,2024-08-08,230.0,6,Missing name
1779,King-Horton,Business,578.41,99.0,UAE,2025-10-08,450.0,4178,Invalid rating
1781,,Resort,1261.11,2.1,UK,2024-09-29,291.0,3969,Missing name
1785,Campos-Chavez,Budget,1568.55,99.0,GERMANY,2025-09-23,268.0,2060,Invalid rating
1787,"Carroll, Garcia and Gray",,1861.99,3.5,UK,2025-08-14,334.0,1858,Invalid category
1788,Stevens PLC,Boutique,622.02,,USA,2023-07-07,326.0,4452,Invalid rating
1789,,Resort,1670.66,1.6,FRANCE,2024-10-02,,1239,Missing name
1790,"Yang, Ball and Cox",Budget,,5.0,UAE,2024-11-01,319.0,2138,Invalid price
1792,,Business,1872.43,2.6,UK,2025-04-12,171.0,3934,Missing name
1798,Payne Inc,Boutique,958.3,,FRANCE,2024-01-08,46.0,3959,Invalid rating
1801,Sloan-Sanchez,Luxury,1647.88,-1.0,USA,2023-08-01,411.0,103,Invalid rating
1803,"Conley, Sexton and Davis",Budget,1484.68,,AUSTRALIA,2024-04-25,205.0,2283,Invalid rating
1808,"Adams, Manning and Haas",Boutique,696.85,99.0,UAE,2024-03-02,58.0,4866,Invalid rating
1809,,Hostel,343.1,99.0,USA,2025-02-12,244.0,3910,Missing name; Invalid rating
1821,"Harrington, Blevins and Turner",Resort,,-1.0,FRANCE,2026-01-06,208.0,131,Invalid price; Invalid rating
1829,Nunez LLC,Business,,4.7,AUSTRALIA,2024-10-26,203.0,3769,Invalid price
1831,Dunlap Group,Boutique,1386.82,-1.0,USA,2024-05-08,90.0,4229,Invalid rating
1834,Schaefer Inc,,1583.55,1.9,FRANCE,2024-06-01,321.0,1233,Invalid category
1836,Rivera-Harris,,498.94,2.3,AUSTRALIA,2024-01-07,156.0,1108,Invalid category
1844,,Budget,890.77,4.7,FRANCE,2025-06-20,303.0,4350,Missing name
1847,,Hostel,1454.97,2.5,JAPAN,2024-09-21,307.0,4394,Missing name
1851,Fox-Mckinney,Budget,878.98,99.0,UAE,2025-06-16,403.0,3399,Invalid rating
1853,Montoya-Weber,Business,,4.3,GERMANY,2024-12-06,219.0,139,Invalid price
1859,,Hostel,118.96,2.7,FRANCE,2024-01-13,76.0,362,Missing name
1874,"Gutierrez, Jackson and Yates",Boutique,,2.8,FRANCE,2023-03-19,302.0,4545,Invalid price
1876,,Resort,845.12,3.9,GERMANY,2023-08-22,182.0,3654,Missing name
1891,Martinez Group,Hostel,,3.3,FRANCE,2026-02-24,213.0,3089,Invalid price
